Category,Question,Answer Type
Food Preferences,I like sweets,Like Scale
Food Preferences,I like spicy food,Like Scale
Food Preferences,I drink coffee,YES/NO
Food Preferences,I drink alcohol,YES/NO
Food Preferences,I am a vegetarian,YES/NO
Food Preferences,I am a vegan,YES/NO
Food Preferences,I like seafood,Like Scale
Food Preferences,I like meat dishes,Like Scale
Food Preferences,I often eat out,YES/NO
Food Preferences,I cook for myself,YES/NO
Food Preferences,I am interested in health foods,YES/NO
Food Preferences,I like fast food,Like Scale
Interpersonal & Social Behavior,I am good at talking to strangers,YES/NO
Interpersonal & Social Behavior,I meet friends frequently,YES/NO
Interpersonal & Social Behavior,I have a good relationship with my family,YES/NO
Interpersonal & Social Behavior,I enjoy spending time alone,Like Scale
Interpersonal & Social Behavior,I am proactive in romance,YES/NO
Interpersonal & Social Behavior,I frequently use social media,YES/NO
Interpersonal & Social Behavior,I like parties,Like Scale
Interpersonal & Social Behavior,I often join group activities,YES/NO
